order_detail_id,order_date,product_id,customer_id,origin_id,quantity,unitprice_rupiah,totalprice_rupiah,totalcost_rupiah,shippingprice_rupiah,product_name,model_name,color,size_range,sub_category,category,customer_name,gender,maritalstatus,birthdate,customer_city,customer_country,territory_region,territory_country,territory_groups
SO43698-1,2016-01-07,346,28389,7,1,47599860,47599860,26770162,1189997,"Mountain-100 Silver, 44",Mountain-100,Silver,42-46 CM,Mountain Bikes,Bikes,Rachael Martinez,F,S,1985-06-12,Pantin,France,France,France,Europe
SO43704-1,2016-02-07,351,11005,9,1,47249860,47249860,26573322,1181247,"Mountain-100 Black, 48",Mountain-100,Black,48-52 CM,Mountain Bikes,Bikes,Julio Ruiz,M,S,1985-05-08,East Brisbane,Australia,Australia,Australia,Pacific
SO43705-1,2016-02-07,344,11011,9,1,47599860,47599860,26770162,1189997,"Mountain-100 Silver, 38",Mountain-100,Silver,38-40 CM,Mountain Bikes,Bikes,Curtis Lu,M,M,1983-04-11,East Brisbane,Australia,Australia,Australia,Pacific
SO43713-1,2016-05-07,310,27601,4,1,50095780,50095780,30398119,1252395,"Road-150 Red, 62",Road-150,Red,60-62 CM,Road Bikes,Bikes,Sydney Rogers,F,S,1973-10-11,Burbank,United States,Southwest,United States,North America
SO43714-1,2016-05-07,311,13591,10,1,50095780,50095780,30398119,1252395,"Road-150 Red, 44",Road-150,Red,42-46 CM,Road Bikes,Bikes,Latasha Alonso,F,M,1975-01-05,York,United Kingdom,United Kingdom,United Kingdom,Europe
SO43719-1,2016-06-07,312,27612,4,1,50095780,50095780,30398119,1252395,"Road-150 Red, 48",Road-150,Red,48-52 CM,Road Bikes,Bikes,Lucas Hill,M,M,1978-01-11,Berkeley,United States,Southwest,United States,North America
SO43720-1,2016-06-07,311,13264,8,1,50095780,50095780,30398119,1252395,"Road-150 Red, 44",Road-150,Red,42-46 CM,Road Bikes,Bikes,Melanie Sanchez,F,M,1977-11-05,Ingolstadt,Germany,Germany,Germany,Europe
SO43721-1,2016-06-07,310,13590,10,1,50095780,50095780,30398119,1252395,"Road-150 Red, 62",Road-150,Red,60-62 CM,Road Bikes,Bikes,Louis Xie,M,M,1974-06-05,York,United Kingdom,United Kingdom,United Kingdom,Europe
SO43725-1,2016-08-07,311,13258,8,1,50095780,50095780,30398119,1252395,"Road-150 Red, 44",Road-150,Red,42-46 CM,Road Bikes,Bikes,Anne Dominguez,F,M,1977-03-03,Kassel,Germany,Germany,Germany,Europe
SO43728-1,2016-09-07,313,27666,4,1,50095780,50095780,30398119,1252395,"Road-150 Red, 52",Road-150,Red,48-52 CM,Road Bikes,Bikes,Alyssa Garcia,F,M,1976-02-07,Fremont,United States,Southwest,United States,North America
SO43729-1,2016-09-07,346,11238,10,1,47599860,47599860,26770162,1189997,"Mountain-100 Silver, 44",Mountain-100,Silver,42-46 CM,Mountain Bikes,Bikes,Mayra Prasad,F,S,1978-10-08,Birmingham,United Kingdom,United Kingdom,United Kingdom,Europe
SO43730-1,2016-09-07,346,25861,4,1,47599860,47599860,26770162,1189997,"Mountain-100 Silver, 44",Mountain-100,Silver,42-46 CM,Mountain Bikes,Bikes,Garrett Cooper,M,M,1967-02-02,Woodland Hills,United States,Southwest,United States,North America
SO43732-1,2016-09-07,350,11025,9,1,47249860,47249860,26573322,1181247,"Mountain-100 Black, 44",Mountain-100,Black,42-46 CM,Mountain Bikes,Bikes,Alejandro Beck,M,M,1966-11-12,Hawthorne,Australia,Australia,Australia,Pacific
SO43733-1,2016-09-07,312,27577,1,1,50095780,50095780,30398119,1252395,"Road-150 Red, 48",Road-150,Red,48-52 CM,Road Bikes,Bikes,Patrick Cook,M,S,1978-04-06,Port Orchard,United States,Northwest,United States,North America
SO43734-1,2016-10-07,312,27604,1,1,50095780,50095780,30398119,1252395,"Road-150 Red, 48",Road-150,Red,48-52 CM,Road Bikes,Bikes,Richard Brooks,M,M,1977-03-03,Port Orchard,United States,Northwest,United States,North America
SO43736-1,2016-10-07,346,11002,9,1,47599860,47599860,26770162,1189997,"Mountain-100 Silver, 44",Mountain-100,Silver,42-46 CM,Mountain Bikes,Bikes,Ruben Torres,M,M,1985-12-08,Hobart,Australia,Australia,Australia,Pacific
SO43737-1,2016-11-07,311,13261,8,1,50095780,50095780,30398119,1252395,"Road-150 Red, 44",Road-150,Red,42-46 CM,Road Bikes,Bikes,Lindsey Andersen,F,M,1977-05-04,Paderborn,Germany,Germany,Germany,Europe
SO43743-1,2016-12-07,347,11007,9,1,47599860,47599860,26770162,1189997,"Mountain-100 Silver, 48",Mountain-100,Silver,48-52 CM,Mountain Bikes,Bikes,Marco Mehta,M,M,1984-09-05,Warrnambool,Australia,Australia,Australia,Pacific
SO43752-1,2017-02-07,311,13265,8,1,50095780,50095780,30398119,1252395,"Road-150 Red, 44",Road-150,Red,42-46 CM,Road Bikes,Bikes,Luke Adams,M,S,1977-10-01,Paderborn,Germany,Germany,Germany,Europe
SO43757-1,2017-03-07,350,11017,9,1,47249860,47249860,26573322,1181247,"Mountain-100 Black, 44",Mountain-100,Black,42-46 CM,Mountain Bikes,Bikes,Shannon Wang,F,S,1966-02-06,Sunbury,Australia,Australia,Australia,Pacific
SO43759-1,2017-04-07,310,13257,8,1,50095780,50095780,30398119,1252395,"Road-150 Red, 62",Road-150,Red,60-62 CM,Road Bikes,Bikes,Jon Chander,M,M,1977-06-07,Hof,Germany,Germany,Germany,Europe
SO43762-1,2017-05-07,314,27578,4,1,50095780,50095780,30398119,1252395,"Road-150 Red, 56",Road-150,Red,54-58 CM,Road Bikes,Bikes,Courtney Carter,F,M,1978-08-11,Lakewood,United States,Southwest,United States,North America
SO43765-1,2017-05-07,346,11010,9,1,47599860,47599860,26770162,1189997,"Mountain-100 Silver, 44",Mountain-100,Silver,42-46 CM,Mountain Bikes,Bikes,Jacquelyn Suarez,F,S,1984-06-02,East Brisbane,Australia,Australia,Australia,Pacific
SO43767-1,2017-06-07,350,11001,9,1,47249860,47249860,26573322,1181247,"Mountain-100 Black, 44",Mountain-100,Black,42-46 CM,Mountain Bikes,Bikes,Eugene Huang,M,S,1986-02-05,Seaford,Australia,Australia,Australia,Pacific
SO43768-1,2017-07-07,312,27649,1,1,50095780,50095780,30398119,1252395,"Road-150 Red, 48",Road-150,Red,48-52 CM,Road Bikes,Bikes,Evan Bailey,M,M,1975-08-06,Seattle,United States,Northwest,United States,North America
SO43770-1,2017-07-07,312,27614,1,1,50095780,50095780,30398119,1252395,"Road-150 Red, 48",Road-150,Red,48-52 CM,Road Bikes,Bikes,Warren Ye,M,M,1976-08-07,Bellingham,United States,Northwest,United States,North America
SO43775-1,2017-07-07,347,11027,9,1,47599860,47599860,26770162,1189997,"Mountain-100 Silver, 48",Mountain-100,Silver,48-52 CM,Mountain Bikes,Bikes,Jessie Zhao,M,M,1966-07-12,Warrnambool,Australia,Australia,Australia,Pacific
SO43776-1,2017-08-07,314,13260,8,1,50095780,50095780,30398119,1252395,"Road-150 Red, 56",Road-150,Red,54-58 CM,Road Bikes,Bikes,James Flores,M,M,1977-09-10,Neunkirchen,Germany,Germany,Germany,Europe
SO43778-1,2017-08-07,345,11018,9,1,47599860,47599860,26770162,1189997,"Mountain-100 Silver, 42",Mountain-100,Silver,42-46 CM,Mountain Bikes,Bikes,Clarence Rai,M,S,1964-09-10,Bendigo,Australia,Australia,Australia,Pacific
SO43787-1,2017-10-07,344,29385,8,1,47599860,47599860,26770162,1189997,"Mountain-100 Silver, 38",Mountain-100,Silver,38-40 CM,Mountain Bikes,Bikes,Don Lal,M,S,1983-05-03,Berlin,Germany,Germany,Germany,Europe
SO43788-1,2017-10-07,351,11239,10,1,47249860,47249860,26573322,1181247,"Mountain-100 Black, 48",Mountain-100,Black,48-52 CM,Mountain Bikes,Bikes,Latoya Goel,F,M,1978-06-10,London,United Kingdom,United Kingdom,United Kingdom,Europe
SO43790-1,2017-10-07,344,25857,1,1,47599860,47599860,26770162,1189997,"Mountain-100 Silver, 38",Mountain-100,Silver,38-40 CM,Mountain Bikes,Bikes,Abigail Perry,F,S,1964-05-09,W. Linn,United States,Northwest,United States,North America
SO43793-1,2017-10-07,344,11000,9,1,47599860,47599860,26770162,1189997,"Mountain-100 Silver, 38",Mountain-100,Silver,38-40 CM,Mountain Bikes,Bikes,Jon Yang,M,M,1986-08-04,Rockhampton,Australia,Australia,Australia,Pacific
SO43794-1,2017-10-07,347,11029,9,1,47599860,47599860,26770162,1189997,"Mountain-100 Silver, 48",Mountain-100,Silver,48-52 CM,Mountain Bikes,Bikes,Jimmy Moreno,M,M,1967-09-12,Bendigo,Australia,Australia,Australia,Pacific
SO43804-1,2018-01-07,310,13585,10,1,50095780,50095780,30398119,1252395,"Road-150 Red, 62",Road-150,Red,60-62 CM,Road Bikes,Bikes,Savannah Morris,F,M,1974-05-05,Leeds,United Kingdom,United Kingdom,United Kingdom,Europe
SO43808-1,2018-02-07,313,13259,8,1,50095780,50095780,30398119,1252395,"Road-150 Red, 52",Road-150,Red,48-52 CM,Road Bikes,Bikes,Allen Garcia,M,M,1977-07-11,MÃ¼nster,Germany,Germany,Germany,Europe
SO43810-1,2018-02-07,345,11004,9,1,47599860,47599860,26770162,1189997,"Mountain-100 Silver, 42",Mountain-100,Silver,42-46 CM,Mountain Bikes,Bikes,Elizabeth Johnson,F,S,1988-08-08,Wollongong,Australia,Australia,Australia,Pacific
SO43811-1,2018-02-07,346,11026,9,1,47599860,47599860,26770162,1189997,"Mountain-100 Silver, 44",Mountain-100,Silver,42-46 CM,Mountain Bikes,Bikes,Harold Sai,M,S,1966-03-04,Goulburn,Australia,Australia,Australia,Pacific
SO43813-1,2018-03-07,350,28390,7,1,47249860,47249860,26573322,1181247,"Mountain-100 Black, 44",Mountain-100,Black,42-46 CM,Mountain Bikes,Bikes,Frederick Suri,M,S,1984-02-04,Colombes,France,France,France,Europe
SO43819-1,2018-03-07,346,11006,9,1,47599860,47599860,26770162,1189997,"Mountain-100 Silver, 44",Mountain-100,Silver,42-46 CM,Mountain Bikes,Bikes,Janet Alvarez,F,S,1985-06-12,Matraville,Australia,Australia,Australia,Pacific
SO43826-1,2018-04-07,348,11008,9,1,47249860,47249860,26573322,1181247,"Mountain-100 Black, 38",Mountain-100,Black,38-40 CM,Mountain Bikes,Bikes,Rob Verhoff,F,S,1984-07-07,Bendigo,Australia,Australia,Australia,Pacific
SO43828-1,2018-05-07,310,27605,1,1,50095780,50095780,30398119,1252395,"Road-150 Red, 62",Road-150,Red,60-62 CM,Road Bikes,Bikes,Miguel Martinez,M,M,1978-10-01,Sedro Woolley,United States,Northwest,United States,North America
SO43829-1,2018-05-07,310,27611,4,1,50095780,50095780,30398119,1252395,"Road-150 Red, 62",Road-150,Red,60-62 CM,Road Bikes,Bikes,Jack Edwards,M,M,1976-03-12,El Cajon,United States,Southwest,United States,North America
SO43831-1,2018-05-07,349,11028,9,1,47249860,47249860,26573322,1181247,"Mountain-100 Black, 42",Mountain-100,Black,42-46 CM,Mountain Bikes,Bikes,Jill Jimenez,F,M,1966-11-04,St. Leonards,Australia,Australia,Australia,Pacific
SO43832-1,2018-05-07,310,13584,10,1,50095780,50095780,30398119,1252395,"Road-150 Red, 62",Road-150,Red,60-62 CM,Road Bikes,Bikes,Isaiah Cox,M,S,1974-05-08,Runcorn,United Kingdom,United Kingdom,United Kingdom,Europe
SO43835-1,2018-06-07,348,19802,6,1,47249860,47249860,26573322,1181247,"Mountain-100 Black, 38",Mountain-100,Black,38-40 CM,Mountain Bikes,Bikes,Sara James,F,S,1995-01-07,Newton,Canada,Canada,Canada,North America
SO43836-1,2018-06-07,324,26620,6,1,9787375,9787375,5784048,244685,"Road-650 Red, 62",Road-650,Red,60-62 CM,Road Bikes,Bikes,Isabella Green,F,S,1988-09-05,Shawnee,Canada,Canada,Canada,North America
SO43837-1,2018-06-07,350,11009,9,1,47249860,47249860,26573322,1181247,"Mountain-100 Black, 44",Mountain-100,Black,42-46 CM,Mountain Bikes,Bikes,Shannon Carlson,M,S,1984-01-04,Hervey Bay,Australia,Australia,Australia,Pacific
SO43839-1,2018-07-07,311,27673,1,1,50095780,50095780,30398119,1252395,"Road-150 Red, 44",Road-150,Red,42-46 CM,Road Bikes,Bikes,Jennifer Young,F,S,1974-11-05,Bremerton,United States,Northwest,United States,North America
SO43841-1,2018-07-07,314,13406,8,1,50095780,50095780,30398119,1252395,"Road-150 Red, 56",Road-150,Red,54-58 CM,Road Bikes,Bikes,Craig Jiménez,M,M,1977-05-01,MÃ¼nster,Germany,Germany,Germany,Europe
SO43919-1,2016-01-08,314,12124,7,1,50095780,50095780,30398119,1252395,"Road-150 Red, 56",Road-150,Red,54-58 CM,Road Bikes,Bikes,Brandi Gill,F,S,1977-08-02,Paris,France,France,France,Europe
SO43923-1,2016-02-08,312,28018,4,1,50095780,50095780,30398119,1252395,"Road-150 Red, 48",Road-150,Red,48-52 CM,Road Bikes,Bikes,Rachel Foster,F,S,1966-09-03,Redwood City,United States,Southwest,United States,North America
SO43924-1,2016-02-08,310,12132,7,1,50095780,50095780,30398119,1252395,"Road-150 Red, 62",Road-150,Red,60-62 CM,Road Bikes,Bikes,Kaitlyn Henderson,F,M,1976-07-11,Tremblay-en-France,France,France,France,Europe
